Filename, Fuzzy Messages, Total Messages, Fuzzy Words, Total Words, Achievement
l10n/po/zh_CN/_guides/writing-extensions.adoc.po, 607, 609, 12583, 12588, 1%
l10n/po/zh_CN/_guides/qute-reference.adoc.po, 778, 785, 11911, 11920, 1%
l10n/po/zh_CN/_guides/native-reference.adoc.po, 304, 310, 9047, 9081, 1%
l10n/po/zh_CN/_guides/security-oidc-code-flow-authentication.adoc.po, 321, 334, 8192, 8284, 2%
l10n/po/zh_CN/_guides/resteasy-reactive.adoc.po, 453, 460, 7196, 7219, 1%
l10n/po/zh_CN/_guides/deploying-to-kubernetes.adoc.po, 352, 357, 6129, 6136, 1%
l10n/po/zh_CN/_guides/hibernate-orm.adoc.po, 283, 294, 5522, 5627, 2%
l10n/po/zh_CN/_guides/maven-tooling.adoc.po, 265, 273, 5413, 5437, 1%
l10n/po/zh_CN/_guides/security-oidc-auth0-tutorial.adoc.po, 195, 199, 5203, 5209, 1%
l10n/po/zh_CN/_guides/rest-client-reactive.adoc.po, 262, 276, 4883, 4982, 2%
l10n/po/zh_CN/_guides/cdi-reference.adoc.po, 227, 232, 4352, 4362, 1%
l10n/po/zh_CN/_guides/hibernate-search-orm-elasticsearch.adoc.po, 233, 252, 4126, 4234, 3%
l10n/po/zh_CN/_guides/pulsar.adoc.po, 200, 237, 4050, 4403, 9%
l10n/po/zh_CN/_guides/security-oidc-bearer-token-authentication.adoc.po, 162, 175, 3811, 3879, 2%
l10n/po/zh_CN/_guides/config-reference.adoc.po, 216, 218, 3805, 3808, 1%
l10n/po/zh_CN/_guides/datasource.adoc.po, 318, 321, 3561, 3564, 1%
l10n/po/zh_CN/_guides/gradle-tooling.adoc.po, 170, 176, 3443, 3481, 2%
l10n/po/zh_CN/_guides/security-openid-connect-client-reference.adoc.po, 146, 155, 3339, 3375, 2%
l10n/po/zh_CN/_guides/building-my-first-extension.adoc.po, 172, 176, 3338, 3342, 1%
l10n/po/zh_CN/_guides/cassandra.adoc.po, 156, 167, 3333, 3409, 3%
l10n/po/zh_CN/_guides/kafka.adoc.po, 149, 606, 3322, 12138, 73%
l10n/po/zh_CN/_guides/logging.adoc.po, 300, 305, 3134, 3141, 1%
l10n/po/zh_CN/_guides/security-openid-connect-providers.adoc.po, 154, 156, 3105, 3107, 1%
l10n/po/zh_CN/_guides/security-openid-connect-dev-services.adoc.po, 108, 112, 3087, 3095, 1%
l10n/po/zh_CN/_guides/redis-reference.adoc.po, 201, 208, 3049, 3140, 3%
l10n/po/zh_CN/_guides/cache.adoc.po, 154, 162, 2989, 3046, 2%
l10n/po/zh_CN/_guides/virtual-threads.adoc.po, 141, 143, 2985, 2989, 1%
l10n/po/zh_CN/_guides/infinispan-client-reference.adoc.po, 175, 185, 2948, 2980, 2%
l10n/po/zh_CN/_guides/http-reference.adoc.po, 241, 246, 2922, 2930, 1%
l10n/po/zh_CN/_guides/security-authorize-web-endpoints-reference.adoc.po, 155, 165, 2883, 2948, 3%
l10n/po/zh_CN/_guides/cdi-integration.adoc.po, 174, 174, 2867, 2867, 0%
l10n/po/zh_CN/_guides/dev-ui.adoc.po, 214, 219, 2815, 2829, 1%
l10n/po/zh_CN/_guides/kafka-streams.adoc.po, 119, 132, 2482, 2606, 5%
l10n/po/zh_CN/_guides/resteasy.adoc.po, 109, 154, 2381, 2843, 17%
l10n/po/zh_CN/_guides/smallrye-graphql.adoc.po, 164, 178, 2381, 2459, 4%
l10n/po/zh_CN/_guides/security-openid-connect-multitenancy.adoc.po, 124, 136, 2305, 2344, 2%
l10n/po/zh_CN/_guides/reactive-routes.adoc.po, 155, 165, 2303, 2351, 3%
l10n/po/zh_CN/_guides/cdi.adoc.po, 128, 130, 2288, 2290, 1%
l10n/po/zh_CN/_guides/doc-reference.adoc.po, 206, 293, 2116, 2315, 9%
l10n/po/zh_CN/_guides/doc-contribute-docs-howto.adoc.po, 140, 142, 2106, 2108, 1%
l10n/po/zh_CN/_guides/telemetry-micrometer.adoc.po, 175, 198, 2088, 2584, 20%
l10n/po/zh_CN/_guides/rabbitmq-reference.adoc.po, 199, 250, 2065, 2456, 16%
l10n/po/zh_CN/_guides/deploying-to-openshift.adoc.po, 138, 143, 2032, 2042, 1%
l10n/po/zh_CN/_guides/security-authentication-mechanisms.adoc.po, 122, 158, 2013, 2257, 11%
l10n/po/zh_CN/_guides/jreleaser.adoc.po, 61, 63, 1985, 1989, 1%
l10n/po/zh_CN/_guides/mutiny-primer.adoc.po, 124, 125, 1959, 1960, 1%
l10n/po/zh_CN/_guides/security-webauthn.adoc.po, 88, 104, 1958, 2092, 7%
l10n/po/zh_CN/_guides/software-transactional-memory.adoc.po, 40, 44, 1950, 1959, 1%
l10n/po/zh_CN/_guides/security-keycloak-authorization.adoc.po, 95, 115, 1943, 2095, 8%
l10n/po/zh_CN/_guides/scheduler-reference.adoc.po, 95, 98, 1938, 1942, 1%
l10n/po/zh_CN/_guides/rest-client.adoc.po, 97, 111, 1901, 2000, 5%
l10n/po/zh_CN/_guides/reactive-sql-clients.adoc.po, 162, 167, 1894, 1904, 1%
l10n/po/zh_CN/_guides/security-jwt-build.adoc.po, 104, 115, 1849, 1880, 2%
l10n/po/zh_CN/_guides/extension-codestart.adoc.po, 132, 137, 1803, 1829, 2%
l10n/po/zh_CN/_guides/validation.adoc.po, 102, 116, 1785, 1874, 5%
l10n/po/zh_CN/_guides/cli-tooling.adoc.po, 144, 173, 1774, 2178, 19%
l10n/po/zh_CN/_guides/gcp-functions.adoc.po, 90, 95, 1669, 1689, 2%
l10n/po/zh_CN/_guides/quarkus-reactive-architecture.adoc.po, 65, 66, 1661, 1662, 1%
l10n/po/zh_CN/_guides/resteasy-client.adoc.po, 84, 98, 1658, 1757, 6%
l10n/po/zh_CN/_guides/smallrye-health.adoc.po, 81, 95, 1641, 1718, 5%
l10n/po/zh_CN/_guides/kafka-schema-registry-avro.adoc.po, 79, 91, 1640, 1720, 5%
l10n/po/zh_CN/_guides/rest-data-panache.adoc.po, 106, 109, 1613, 1618, 1%
l10n/po/zh_CN/_guides/duplicated-context.adoc.po, 71, 74, 1585, 1589, 1%
l10n/po/zh_CN/_guides/smallrye-fault-tolerance.adoc.po, 72, 84, 1572, 1646, 5%
l10n/po/zh_CN/_guides/funqy-knative-events.adoc.po, 65, 68, 1550, 1563, 1%
l10n/po/zh_CN/_guides/grpc-service-implementation.adoc.po, 107, 108, 1512, 1514, 1%
l10n/po/zh_CN/_guides/mailer-reference.adoc.po, 93, 98, 1510, 1532, 2%
l10n/po/zh_CN/_guides/security-jwt.adoc.po, 95, 307, 1502, 4621, 68%
l10n/po/zh_CN/_guides/security-getting-started-tutorial.adoc.po, 92, 100, 1499, 1518, 2%
l10n/po/zh_CN/_guides/security-customization.adoc.po, 74, 77, 1487, 1492, 1%
l10n/po/zh_CN/_guides/container-image.adoc.po, 74, 76, 1477, 1479, 1%
l10n/po/zh_CN/_guides/class-loading-reference.adoc.po, 62, 64, 1452, 1456, 1%
l10n/po/zh_CN/_guides/deploying-to-google-cloud.adoc.po, 85, 88, 1443, 1449, 1%
l10n/po/zh_CN/_guides/opentelemetry.adoc.po, 112, 158, 1401, 1980, 30%
l10n/po/zh_CN/_guides/databases-dev-services.adoc.po, 78, 79, 1394, 1396, 1%
l10n/po/zh_CN/_guides/extension-registry-user.adoc.po, 65, 65, 1391, 1391, 0%
l10n/po/zh_CN/_guides/getting-started-testing.adoc.po, 55, 235, 1389, 5347, 75%
l10n/po/zh_CN/_guides/building-native-image.adoc.po, 61, 211, 1385, 4134, 67%
l10n/po/zh_CN/_guides/vertx-reference.adoc.po, 103, 243, 1361, 3287, 59%
l10n/po/zh_CN/_guides/writing-native-applications-tips.adoc.po, 43, 106, 1350, 2435, 45%
l10n/po/zh_CN/_guides/platform.adoc.po, 51, 52, 1341, 1342, 1%
l10n/po/zh_CN/_guides/telemetry-opentracing-to-otel-tutorial.adoc.po, 114, 118, 1332, 1340, 1%
l10n/po/zh_CN/_guides/security-openid-connect-client.adoc.po, 81, 95, 1328, 1410, 6%
l10n/po/zh_CN/_guides/smallrye-graphql-client.adoc.po, 46, 58, 1318, 1394, 6%
l10n/po/zh_CN/_guides/funqy-gcp-functions.adoc.po, 72, 79, 1317, 1349, 3%
l10n/po/zh_CN/_guides/performance-measure.adoc.po, 79, 82, 1309, 1316, 1%
l10n/po/zh_CN/_guides/doc-create-tutorial.adoc.po, 94, 96, 1307, 1311, 1%
l10n/po/zh_CN/_guides/stork-kubernetes.adoc.po, 68, 76, 1298, 1321, 2%
l10n/po/zh_CN/_guides/kafka-schema-registry-json-schema.adoc.po, 63, 74, 1292, 1364, 6%
l10n/po/zh_CN/_guides/getting-started-dev-services.adoc.po, 79, 87, 1288, 1333, 4%
l10n/po/zh_CN/_guides/resteasy-reactive-migration.adoc.po, 92, 95, 1275, 1278, 1%
l10n/po/zh_CN/_guides/native-and-ssl.adoc.po, 87, 95, 1262, 1317, 5%
l10n/po/zh_CN/_guides/hibernate-reactive-panache.adoc.po, 39, 152, 1254, 3045, 59%
l10n/po/zh_CN/_guides/transaction.adoc.po, 47, 102, 1230, 2387, 49%
l10n/po/zh_CN/_guides/openapi-swaggerui.adoc.po, 80, 96, 1227, 1318, 7%
l10n/po/zh_CN/_guides/qute.adoc.po, 80, 85, 1173, 1216, 4%
l10n/po/zh_CN/_guides/security-oidc-bearer-token-authentication-tutorial.adoc.po, 78, 92, 1148, 1231, 7%
l10n/po/zh_CN/_guides/extension-metadata.adoc.po, 53, 55, 1139, 1141, 1%
l10n/po/zh_CN/_guides/kubernetes-client.adoc.po, 52, 57, 1138, 1154, 2%
l10n/po/zh_CN/_guides/spring-data-jpa.adoc.po, 70, 91, 1122, 1270, 12%
l10n/po/zh_CN/_guides/spring-security.adoc.po, 79, 107, 1088, 1257, 14%
l10n/po/zh_CN/_guides/security-oauth2.adoc.po, 60, 79, 1087, 1226, 12%
l10n/po/zh_CN/_guides/elasticsearch.adoc.po, 61, 80, 1086, 1231, 12%
l10n/po/zh_CN/_guides/hibernate-reactive.adoc.po, 66, 74, 1081, 1130, 5%
l10n/po/zh_CN/_guides/kafka-reactive-getting-started.adoc.po, 46, 77, 1057, 1299, 19%
l10n/po/zh_CN/_guides/config-extending-support.adoc.po, 63, 65, 1036, 1040, 1%
l10n/po/zh_CN/_guides/quartz.adoc.po, 71, 89, 1027, 1142, 11%
l10n/po/zh_CN/_guides/pulsar-getting-started.adoc.po, 47, 76, 1024, 1240, 18%
l10n/po/zh_CN/_guides/command-mode-reference.adoc.po, 52, 60, 1007, 1055, 5%
l10n/po/zh_CN/_guides/management-interface-reference.adoc.po, 60, 61, 1006, 1007, 1%
l10n/po/zh_CN/_guides/context-propagation.adoc.po, 66, 73, 999, 1046, 5%
l10n/po/zh_CN/_guides/lifecycle.adoc.po, 53, 67, 983, 1071, 9%
l10n/po/zh_CN/_guides/scripting.adoc.po, 59, 70, 972, 1037, 7%
l10n/po/zh_CN/_guides/stork.adoc.po, 58, 68, 966, 996, 4%
l10n/po/zh_CN/_guides/spring-data-rest.adoc.po, 88, 110, 963, 1112, 14%
l10n/po/zh_CN/_guides/deploying-to-heroku.adoc.po, 59, 63, 959, 967, 1%
l10n/po/zh_CN/_guides/_includes/smallrye-pulsar-consumer.adoc.po, 113, 118, 955, 960, 1%
l10n/po/zh_CN/_guides/lra.adoc.po, 18, 22, 946, 960, 2%
l10n/po/zh_CN/_guides/mongodb-panache.adoc.po, 44, 199, 942, 3861, 76%
l10n/po/zh_CN/_guides/funqy-aws-lambda.adoc.po, 41, 77, 938, 1382, 33%
l10n/po/zh_CN/_guides/spring-di.adoc.po, 59, 83, 936, 1095, 15%
l10n/po/zh_CN/_guides/security-oidc-code-flow-authentication-tutorial.adoc.po, 63, 72, 931, 984, 6%
l10n/po/zh_CN/_guides/grpc-service-consumption.adoc.po, 66, 67, 927, 929, 1%
l10n/po/zh_CN/_guides/aws-lambda.adoc.po, 36, 149, 921, 3042, 70%
l10n/po/zh_CN/_guides/rest-client-multipart.adoc.po, 47, 61, 921, 1020, 10%
l10n/po/zh_CN/_guides/resteasy-client-multipart.adoc.po, 47, 61, 921, 1020, 10%
l10n/po/zh_CN/_guides/tests-with-coverage.adoc.po, 50, 57, 914, 928, 2%
l10n/po/zh_CN/_guides/centralized-log-management.adoc.po, 49, 53, 898, 905, 1%
l10n/po/zh_CN/_guides/ansible.adoc.po, 29, 30, 881, 882, 1%
l10n/po/zh_CN/_guides/telemetry-micrometer-tutorial.adoc.po, 55, 64, 839, 921, 9%
l10n/po/zh_CN/_guides/grpc-getting-started.adoc.po, 49, 56, 819, 869, 6%
l10n/po/zh_CN/_guides/config-mappings.adoc.po, 57, 59, 817, 819, 1%
l10n/po/zh_CN/_guides/grpc-generation-reference.adoc.po, 57, 57, 817, 817, 0%
l10n/po/zh_CN/_guides/credentials-provider.adoc.po, 49, 50, 816, 818, 1%
l10n/po/zh_CN/_guides/spring-web.adoc.po, 86, 115, 816, 999, 19%
l10n/po/zh_CN/_guides/kubernetes-config.adoc.po, 39, 43, 815, 830, 2%
l10n/po/zh_CN/_guides/security-csrf-prevention.adoc.po, 40, 48, 806, 842, 5%
l10n/po/zh_CN/_guides/dev-services.adoc.po, 34, 35, 804, 805, 1%
l10n/po/zh_CN/_guides/hibernate-orm-panache.adoc.po, 28, 149, 800, 2813, 72%
l10n/po/zh_CN/_guides/conditional-extension-dependencies.adoc.po, 31, 32, 776, 779, 1%
l10n/po/zh_CN/_guides/infinispan-client.adoc.po, 52, 73, 774, 969, 21%
l10n/po/zh_CN/_guides/capabilities.adoc.po, 41, 44, 769, 776, 1%
l10n/po/zh_CN/_guides/infinispan-dev-services.adoc.po, 37, 38, 768, 770, 1%
l10n/po/zh_CN/_guides/smallrye-metrics.adoc.po, 48, 55, 767, 776, 2%
l10n/po/zh_CN/_guides/resteasy-reactive-virtual-threads.adoc.po, 49, 55, 763, 784, 3%
l10n/po/zh_CN/_guides/config.adoc.po, 60, 75, 753, 851, 12%
l10n/po/zh_CN/_guides/messaging-virtual-threads.adoc.po, 41, 44, 746, 754, 2%
l10n/po/zh_CN/_guides/dev-mode-differences.adoc.po, 41, 46, 736, 751, 2%
l10n/po/zh_CN/_guides/deploying-to-azure-cloud.adoc.po, 46, 49, 735, 744, 2%
l10n/po/zh_CN/_guides/azure-functions-http.adoc.po, 44, 46, 728, 730, 1%
l10n/po/zh_CN/_guides/funqy-http.adoc.po, 37, 39, 726, 738, 2%
l10n/po/zh_CN/_guides/mongodb.adoc.po, 26, 117, 721, 2133, 67%
l10n/po/zh_CN/_guides/elasticsearch-dev-services.adoc.po, 38, 40, 717, 723, 1%
l10n/po/zh_CN/_guides/security-jpa.adoc.po, 36, 37, 712, 713, 1%
l10n/po/zh_CN/_guides/reactive-event-bus.adoc.po, 43, 73, 711, 996, 29%
l10n/po/zh_CN/_guides/funqy.adoc.po, 21, 21, 710, 710, 0%
