Filename, Fuzzy Messages, Total Messages, Fuzzy Words, Total Words, Achievement
l10n/po/zh_CN/_versions/main/guides/writing-extensions.adoc.po, 646, 649, 13017, 13024, 1%
l10n/po/zh_CN/_versions/main/guides/qute-reference.adoc.po, 846, 879, 12975, 13534, 5%
l10n/po/zh_CN/_versions/main/guides/native-reference.adoc.po, 344, 350, 10300, 10334, 1%
l10n/po/zh_CN/_versions/main/guides/security-oidc-code-flow-authentication.adoc.po, 396, 418, 9849, 10115, 3%
l10n/po/zh_CN/_versions/main/guides/rest.adoc.po, 491, 506, 8140, 8324, 3%
l10n/po/zh_CN/_versions/main/guides/resteasy-reactive.adoc.po, 461, 468, 7435, 7458, 1%
l10n/po/zh_CN/_versions/main/guides/deploying-to-kubernetes.adoc.po, 365, 370, 6286, 6293, 1%
l10n/po/zh_CN/_versions/main/guides/hibernate-orm.adoc.po, 313, 367, 6074, 7079, 15%
l10n/po/zh_CN/_versions/main/guides/tls-registry-reference.adoc.po, 336, 341, 6008, 6154, 3%
l10n/po/zh_CN/_versions/main/guides/websockets-next-reference.adoc.po, 300, 319, 5920, 6278, 6%
l10n/po/zh_CN/_versions/main/guides/cdi-reference.adoc.po, 288, 306, 5746, 6055, 6%
l10n/po/zh_CN/_versions/main/guides/maven-tooling.adoc.po, 275, 283, 5691, 5715, 1%
l10n/po/zh_CN/_versions/main/guides/rest-client.adoc.po, 301, 317, 5663, 5771, 2%
l10n/po/zh_CN/_versions/main/guides/security-oidc-auth0-tutorial.adoc.po, 195, 199, 5207, 5213, 1%
l10n/po/zh_CN/_versions/main/guides/rest-client-reactive.adoc.po, 265, 279, 4940, 5039, 2%
l10n/po/zh_CN/_versions/main/guides/security-oidc-bearer-token-authentication.adoc.po, 219, 245, 4876, 5248, 8%
l10n/po/zh_CN/_versions/main/guides/hibernate-search-orm-elasticsearch.adoc.po, 268, 286, 4604, 4707, 3%
l10n/po/zh_CN/_versions/main/guides/security-jwt.adoc.po, 274, 345, 4290, 4871, 12%
l10n/po/zh_CN/_versions/main/guides/datasource.adoc.po, 347, 353, 4166, 4280, 3%
l10n/po/zh_CN/_versions/main/guides/pulsar.adoc.po, 204, 240, 4116, 4444, 8%
l10n/po/zh_CN/_versions/main/guides/config-reference.adoc.po, 229, 231, 4104, 4107, 1%
l10n/po/zh_CN/_versions/main/guides/kafka.adoc.po, 182, 623, 4053, 12407, 68%
l10n/po/zh_CN/_versions/main/guides/hibernate-search-standalone-elasticsearch.adoc.po, 230, 248, 3905, 4008, 3%
l10n/po/zh_CN/_versions/main/guides/security-openid-connect-client-reference.adoc.po, 181, 197, 3882, 4160, 7%
l10n/po/zh_CN/_versions/main/guides/security-authorize-web-endpoints-reference.adoc.po, 204, 232, 3778, 4153, 10%
l10n/po/zh_CN/_versions/main/guides/redis-reference.adoc.po, 223, 230, 3641, 3732, 3%
l10n/po/zh_CN/_versions/main/guides/gradle-tooling.adoc.po, 197, 206, 3590, 3707, 4%
l10n/po/zh_CN/_versions/main/guides/messaging.adoc.po, 188, 206, 3571, 3805, 7%
l10n/po/zh_CN/_versions/main/guides/building-my-first-extension.adoc.po, 172, 176, 3355, 3359, 1%
l10n/po/zh_CN/_versions/main/guides/cassandra.adoc.po, 156, 167, 3335, 3411, 3%
l10n/po/zh_CN/_versions/main/guides/security-authentication-mechanisms.adoc.po, 190, 242, 3294, 3825, 14%
l10n/po/zh_CN/_versions/main/guides/http-reference.adoc.po, 270, 275, 3292, 3300, 1%
l10n/po/zh_CN/_versions/main/guides/logging.adoc.po, 311, 319, 3259, 3334, 3%
l10n/po/zh_CN/_versions/main/guides/security-openid-connect-providers.adoc.po, 158, 161, 3207, 3273, 3%
l10n/po/zh_CN/_versions/main/guides/cdi-integration.adoc.po, 189, 189, 3159, 3159, 0%
l10n/po/zh_CN/_versions/main/guides/infinispan-client-reference.adoc.po, 190, 201, 3147, 3185, 2%
l10n/po/zh_CN/_versions/main/guides/security-openid-connect-dev-services.adoc.po, 115, 121, 3121, 3213, 3%
l10n/po/zh_CN/_versions/main/guides/security-openid-connect-multitenancy.adoc.po, 169, 197, 3113, 3528, 12%
l10n/po/zh_CN/_versions/main/guides/virtual-threads.adoc.po, 147, 149, 3095, 3099, 1%
l10n/po/zh_CN/_versions/main/guides/cache.adoc.po, 155, 163, 3040, 3097, 2%
l10n/po/zh_CN/_versions/main/guides/security-webauthn.adoc.po, 123, 139, 2873, 3007, 5%
l10n/po/zh_CN/_versions/main/guides/scheduler-reference.adoc.po, 130, 134, 2563, 2568, 1%
l10n/po/zh_CN/_versions/main/guides/kafka-streams.adoc.po, 119, 132, 2484, 2608, 5%
l10n/po/zh_CN/_versions/main/guides/security-keycloak-authorization.adoc.po, 176, 189, 2441, 2506, 3%
l10n/po/zh_CN/_versions/main/guides/resteasy.adoc.po, 110, 155, 2410, 2872, 17%
l10n/po/zh_CN/_versions/main/guides/smallrye-graphql.adoc.po, 163, 180, 2351, 2455, 5%
l10n/po/zh_CN/_versions/main/guides/cdi.adoc.po, 129, 132, 2336, 2372, 2%
l10n/po/zh_CN/_versions/main/guides/reactive-routes.adoc.po, 155, 165, 2309, 2357, 3%
l10n/po/zh_CN/_versions/main/guides/telemetry-micrometer.adoc.po, 176, 262, 2141, 3262, 35%
l10n/po/zh_CN/_versions/main/guides/smallrye-fault-tolerance.adoc.po, 106, 120, 2117, 2240, 6%
l10n/po/zh_CN/_versions/main/guides/doc-reference.adoc.po, 206, 293, 2116, 2315, 9%
l10n/po/zh_CN/_versions/main/guides/doc-contribute-docs-howto.adoc.po, 140, 142, 2106, 2108, 1%
l10n/po/zh_CN/_versions/main/guides/rabbitmq-reference.adoc.po, 202, 253, 2103, 2494, 16%
l10n/po/zh_CN/_versions/main/guides/jreleaser.adoc.po, 62, 64, 2015, 2019, 1%
l10n/po/zh_CN/_versions/main/guides/mutiny-primer.adoc.po, 124, 125, 1962, 1963, 1%
l10n/po/zh_CN/_versions/main/guides/software-transactional-memory.adoc.po, 40, 44, 1950, 1959, 1%
l10n/po/zh_CN/_versions/main/guides/deploying-to-openshift.adoc.po, 153, 168, 1937, 2144, 10%
l10n/po/zh_CN/_versions/main/guides/extension-codestart.adoc.po, 140, 145, 1913, 1939, 2%
l10n/po/zh_CN/_versions/main/guides/reactive-sql-clients.adoc.po, 164, 173, 1895, 1945, 3%
l10n/po/zh_CN/_versions/main/guides/validation.adoc.po, 101, 120, 1838, 2180, 16%
l10n/po/zh_CN/_versions/main/guides/security-jwt-build.adoc.po, 123, 138, 1814, 1882, 4%
l10n/po/zh_CN/_versions/main/guides/mailer-reference.adoc.po, 110, 115, 1791, 1813, 2%
l10n/po/zh_CN/_versions/main/guides/cli-tooling.adoc.po, 144, 173, 1774, 2178, 19%
l10n/po/zh_CN/_versions/main/guides/smallrye-health.adoc.po, 84, 98, 1735, 1812, 5%
l10n/po/zh_CN/_versions/main/guides/security-openid-connect-client.adoc.po, 99, 114, 1712, 1801, 5%
l10n/po/zh_CN/_versions/main/guides/building-native-image.adoc.po, 74, 223, 1694, 4393, 62%
l10n/po/zh_CN/_versions/main/guides/resteasy-client.adoc.po, 85, 100, 1680, 1781, 6%
l10n/po/zh_CN/_versions/main/guides/quarkus-reactive-architecture.adoc.po, 65, 66, 1663, 1664, 1%
l10n/po/zh_CN/_versions/main/guides/container-image.adoc.po, 84, 90, 1634, 1727, 6%
l10n/po/zh_CN/_versions/main/guides/security-getting-started-tutorial.adoc.po, 108, 116, 1623, 1642, 2%
l10n/po/zh_CN/_versions/main/guides/kafka-schema-registry-avro.adoc.po, 78, 91, 1619, 1719, 6%
l10n/po/zh_CN/_versions/main/guides/jfr.adoc.po, 82, 99, 1602, 1717, 7%
l10n/po/zh_CN/_versions/main/guides/gcp-functions.adoc.po, 86, 91, 1599, 1619, 2%
l10n/po/zh_CN/_versions/main/guides/rest-data-panache.adoc.po, 106, 110, 1592, 1598, 1%
l10n/po/zh_CN/_versions/main/guides/vertx-reference.adoc.po, 124, 258, 1592, 3434, 54%
l10n/po/zh_CN/_versions/main/guides/security-customization.adoc.po, 77, 87, 1591, 1736, 9%
l10n/po/zh_CN/_versions/main/guides/writing-native-applications-tips.adoc.po, 54, 107, 1589, 2429, 35%
l10n/po/zh_CN/_versions/main/guides/duplicated-context.adoc.po, 71, 74, 1586, 1590, 1%
l10n/po/zh_CN/_versions/main/guides/dev-ui.adoc.po, 114, 399, 1559, 5100, 70%
l10n/po/zh_CN/_versions/main/guides/funqy-knative-events.adoc.po, 65, 68, 1550, 1563, 1%
l10n/po/zh_CN/_versions/main/guides/drools.adoc.po, 61, 68, 1532, 1552, 2%
l10n/po/zh_CN/_versions/main/guides/grpc-service-implementation.adoc.po, 107, 112, 1512, 1651, 9%
l10n/po/zh_CN/_versions/main/guides/class-loading-reference.adoc.po, 63, 65, 1472, 1476, 1%
l10n/po/zh_CN/_versions/main/guides/deploying-to-google-cloud.adoc.po, 86, 89, 1472, 1478, 1%
l10n/po/zh_CN/_versions/main/guides/extension-metadata.adoc.po, 72, 74, 1471, 1473, 1%
l10n/po/zh_CN/_versions/main/guides/cyclonedx.adoc.po, 66, 68, 1456, 1458, 1%
l10n/po/zh_CN/_versions/main/guides/openapi-swaggerui.adoc.po, 92, 108, 1456, 1547, 6%
l10n/po/zh_CN/_versions/main/guides/platform.adoc.po, 54, 59, 1444, 1505, 5%
l10n/po/zh_CN/_versions/main/guides/web.adoc.po, 73, 74, 1434, 1437, 1%
l10n/po/zh_CN/_versions/main/guides/getting-started-testing.adoc.po, 54, 238, 1431, 5256, 73%
l10n/po/zh_CN/_versions/main/guides/hibernate-reactive-panache.adoc.po, 49, 153, 1421, 3035, 54%
l10n/po/zh_CN/_versions/main/guides/smallrye-graphql-client.adoc.po, 49, 62, 1409, 1486, 6%
