Filename, Fuzzy Messages, Total Messages, Fuzzy Words, Total Words, Achievement
l10n/po/zh_CN/_includes/worldtour-abstracts.html.po, 15, 15, 363, 363, 0%
l10n/po/zh_CN/_includes/continuum.html.po, 11, 42, 201, 1123, 83%
l10n/po/zh_CN/_includes/get-started-code-steps.html.po, 9, 25, 128, 241, 47%
l10n/po/zh_CN/_includes/catalog-detail-band.html.po, 18, 88, 72, 590, 88%
l10n/po/zh_CN/_includes/homepage-features-icon-band.html.po, 6, 13, 66, 217, 70%
l10n/po/zh_CN/_includes/homepage-container_first-band.html.po, 2, 3, 52, 54, 4%
l10n/po/zh_CN/_includes/standards.html.po, 15, 35, 41, 251, 84%
l10n/po/zh_CN/_includes/homepage-imperative_and_reactive-band.html.po, 3, 6, 38, 44, 14%
l10n/po/zh_CN/_includes/about.html.po, 3, 22, 36, 418, 92%
l10n/po/zh_CN/_includes/catalog-index-band.html.po, 34, 52, 36, 109, 67%
l10n/po/zh_CN/_includes/homepage-extensions-band.html.po, 1, 2, 35, 41, 15%
l10n/po/zh_CN/_includes/kubernetes-native.html.po, 1, 16, 35, 403, 92%
l10n/po/zh_CN/_includes/homepage-hero-newrelease-band.html.po, 6, 6, 33, 33, 0%
l10n/po/zh_CN/_includes/support-help-band.html.po, 1, 9, 28, 97, 72%
l10n/po/zh_CN/_includes/header-navigation.html.po, 17, 48, 16, 67, 77%
l10n/po/zh_CN/_includes/homepage-developer_joy-band.html.po, 2, 8, 11, 48, 78%
l10n/po/zh_CN/_includes/homepage-hero-band-ssjprime.html.po, 3, 9, 10, 46, 79%
l10n/po/zh_CN/_includes/homepage-hero-band.html.po, 5, 12, 10, 51, 81%
l10n/po/zh_CN/_includes/homepage-features-band.html.po, 1, 17, 5, 146, 97%
l10n/po/zh_CN/_includes/events-worldtour-band.html.po, 1, 3, 4, 45, 92%
l10n/po/zh_CN/_includes/get-started-band-lightblue.html.po, 4, 9, 4, 59, 94%
l10n/po/zh_CN/_includes/get-started-band.html.po, 4, 10, 4, 59, 94%
l10n/po/zh_CN/_includes/homepage-worldtour-band.html.po, 2, 4, 4, 45, 92%
l10n/po/zh_CN/_includes/community-contrib-band.html.po, 1, 27, 2, 372, 100%
