Filename, Fuzzy Messages, Total Messages, Fuzzy Words, Total Words, Achievement
2020-05-08-insights-1.adoc.po, 265, 265, 9071, 9071, 0%
2024-08-06-quarkus-and-leyden.adoc.po, 119, 119, 5170, 5170, 0%
2020-04-30-insights.adoc.po, 132, 132, 3949, 3949, 0%
2025-10-01-secure-mcp-oidc-proxy.adoc.po, 126, 128, 3763, 3765, 1%
2025-09-22-secure-mcp-server-oauth2.adoc.po, 128, 130, 3587, 3589, 1%
2023-05-09-ministry-of-economy-finance-uruguay-adopts-quarkus.adoc.po, 140, 142, 3534, 3536, 1%
2023-11-02-mandrel-23-0-image-size-increase.md.po, 122, 124, 3038, 3040, 1%
2024-03-27-oidc-proxy.adoc.po, 100, 102, 2892, 2894, 1%
2025-07-23-secure-mcp-oidc-client.adoc.po, 147, 149, 2882, 2884, 1%
2026-03-05-leyden-2.adoc.po, 185, 186, 2880, 2881, 1%
2021-09-13-decathlon-user-story.adoc.po, 83, 83, 2744, 2744, 0%
2021-06-08-quarkus-deploys-apps-on-openshift.adoc.po, 117, 117, 2694, 2694, 0%
2025-10-31-quarkus-a2a-cloud-enhancements.adoc.po, 116, 118, 2668, 2670, 1%
2023-09-19-virtual-thread-1.adoc.po, 65, 65, 2480, 2480, 0%
2023-04-26-quarkus-3-0-final-released.adoc.po, 152, 154, 2414, 2416, 1%
2026-02-24-leyden-1.adoc.po, 116, 117, 2378, 2379, 1%
2026-06-01-quarkus-insights-249-coding-agents.adoc.po, 232, 234, 2321, 2324, 1%
2025-05-21-secure-mcp-client.adoc.po, 109, 111, 2273, 2275, 1%
2022-04-05-camel-quarkus-effortless-apis.adoc.po, 101, 102, 2272, 2273, 1%
2024-08-19-quarkus-metaprogramming.adoc.po, 53, 53, 2268, 2268, 0%
2026-07-23-to-cache-or-not-to-cache-virtual-threads.adoc.po, 115, 116, 2245, 2246, 1%
2025-03-13-gemini-personal-assistant.adoc.po, 102, 105, 2217, 2220, 1%
2026-03-02-new-benchmarks.adoc.po, 37, 37, 2182, 2182, 0%
2024-10-16-quarkiverse-and-smallrye-new-release-process.adoc.po, 76, 76, 2181, 2181, 0%
2023-09-11-live-diff-and-update-using-idea.adoc.po, 91, 93, 2157, 2159, 1%
2020-11-02-quarkus-native-on-a-raspberry-pi.adoc.po, 145, 147, 2119, 2121, 1%
2022-02-22-quarkus-superheroes-to-the-rescue.adoc.po, 87, 88, 2069, 2070, 1%
2021-02-10-resteasy-reactive-faq.adoc.po, 54, 55, 2058, 2059, 1%
2023-12-04-testing-quarkus-with-citrus.adoc.po, 68, 68, 2026, 2026, 0%
2026-06-10-when-the-jit-cant-keep-up.adoc.po, 70, 70, 1971, 1971, 0%
2021-09-01-using-lra.adoc.po, 77, 78, 1963, 1964, 1%
2026-06-08-quarkus-insights-250-quarkus-data.adoc.po, 116, 117, 1961, 1962, 1%
2026-06-30-quarkus-insights-253-build-analytics.adoc.po, 96, 98, 1939, 1942, 1%
2026-07-14-quarkus-insights-254-ddd-hexagonal-architecture-part2.adoc.po, 86, 87, 1924, 1925, 1%
2026-05-04-semeru-scc.adoc.po, 124, 125, 1906, 1907, 1%
2022-05-31-banco-do-brasil-open-banking-user-story.adoc.po, 80, 81, 1885, 1886, 1%
2023-06-23-quarkus-cli.adoc.po, 88, 88, 1834, 1834, 0%
2020-05-06-sedona-rewrites-insurance-premium.adoc.po, 50, 50, 1811, 1811, 0%
2026-06-23-mmaler-blogpost-3-quarkus-unpacked-foojay-podcast.adoc.po, 61, 63, 1786, 1790, 1%
2023-11-08-mandrel-23-1-image-size-increase.md.po, 89, 91, 1769, 1771, 1%
2025-04-28-secure-mcp-sse-server.adoc.po, 98, 100, 1753, 1755, 1%
2020-10-05-contributing-for-the-first-time.adoc.po, 75, 77, 1732, 1734, 1%
2026-05-22-introducing-voting-pattern.adoc.po, 45, 46, 1710, 1711, 1%
2025-11-12-agentic-ai-patterns.adoc.po, 29, 30, 1707, 1708, 1%
2020-03-16-ennovativesolutions-uses-quarkus-with-aws-lambda.adoc.po, 58, 58, 1685, 1685, 0%
2026-08-03-quarkus-insights-255-faster-leaner-predictable-quarkus.adoc.po, 48, 49, 1669, 1670, 1%
2026-06-23-quarkus-insights-252-performance-engineering-lessons.adoc.po, 59, 60, 1645, 1646, 1%
2023-07-12-on-the-road-to-cdi-compatibility.adoc.po, 36, 36, 1637, 1637, 0%
2026-01-05-new-dev-services-api.adoc.po, 65, 65, 1613, 1613, 0%
2026-03-24-quarkus-polaris.adoc.po, 60, 60, 1607, 1607, 0%
2024-04-22-ship-cars-leverages-quarkus-to-reach-its-goals.adoc.po, 50, 50, 1605, 1605, 0%
2021-03-04-path-resolution-in-quarkus.adoc.po, 81, 81, 1600, 1600, 0%
2019-11-13-vodafone-greece-replaces-spring-boot.adoc.po, 33, 35, 1586, 1588, 1%
2025-11-27-mmaler-blogpost-2-quarkus-runtime-and-framework-for-cloud-native-java.adoc.po, 74, 76, 1562, 1564, 1%
2019-07-08-runtime-performance.adoc.po, 215, 217, 1544, 1546, 1%
2026-05-07-introducing-agent-mcp.adoc.po, 83, 83, 1530, 1530, 0%
2020-04-21-io-thread-benchmark.adoc.po, 53, 54, 1507, 1508, 1%
2026-05-26-ai-skills-migration.adoc.po, 94, 95, 1507, 1508, 1%
2026-01-13-building-large-applications.adoc.po, 64, 65, 1501, 1502, 1%
2025-02-20-agentic-ai-with-quarkus-p2.adoc.po, 62, 62, 1494, 1494, 0%
2020-02-17-aviatar-experiences-significant-savings.adoc.po, 31, 31, 1488, 1488, 0%
2021-12-02-logicdrop-automating-quarkus-with-gitlab.adoc.po, 109, 110, 1485, 1486, 1%
2026-06-08-hidden-cost-rootless-container-networking.adoc.po, 91, 91, 1466, 1466, 0%
2024-07-02-overriding-configuration-from-test-code.adoc.po, 60, 61, 1464, 1465, 1%
2026-08-10-quarkus-insights-256-what-is-floci.adoc.po, 54, 55, 1456, 1457, 1%
2020-12-08-resteasy-reactive.adoc.po, 56, 56, 1453, 1453, 0%
2026-06-16-quarkus-insights-251-semeru-openj9.adoc.po, 103, 104, 1441, 1442, 1%
2024-08-01-search-standalone-mapper.adoc.po, 51, 51, 1440, 1440, 0%
2020-02-10-asiakastieto-chooses-quarkus-for-microservices.adoc.po, 31, 32, 1436, 1438, 1%
2024-08-28-quarkus-3-14-1-released.adoc.po, 85, 86, 1428, 1429, 1%
2024-06-14-granite-rag.adoc.po, 68, 70, 1410, 1414, 1%
2026-02-19-k8s-style-CEL-with-quarkus-chicory.adoc.po, 89, 91, 1405, 1407, 1%
2020-11-03-kafka-commit-strategies.adoc.po, 41, 42, 1396, 1397, 1%
2021-09-20-logicdrop-customer-story.adoc.po, 95, 95, 1362, 1362, 0%
2020-09-23-cytech-customer-story.adoc.po, 18, 18, 1360, 1360, 0%
2023-10-10-intellij-quarkus-recap.adoc.po, 93, 93, 1360, 1360, 0%
2023-07-27-native-startup-rss-troubleshooting.adoc.po, 27, 27, 1343, 1343, 0%
2026-05-25-native-pgo.adoc.po, 73, 74, 1340, 1341, 1%
2022-11-24-reactive-crud-performance-case-study.adoc.po, 81, 93, 1337, 1556, 15%
2019-06-26-kafka-streams-applications-with-quarkus-and-microprofile.adoc.po, 38, 40, 1331, 1334, 1%
2023-11-16-quarkus-meets-langchain4j.adoc.po, 47, 47, 1329, 1329, 0%
2019-12-11-talkdesk-chooses-quarkus-for-fast-innovation.adoc.po, 44, 44, 1323, 1323, 0%
2020-03-19-quarkus-1-3-0-final-released.adoc.po, 94, 95, 1316, 1317, 1%
2026-07-10-quarkus-langchain4j-opa-guardrails.adoc.po, 100, 103, 1314, 1319, 1%
2020-07-08-quarkus-1-6-0-final-released.adoc.po, 82, 85, 1311, 1316, 1%
2020-04-08-why-did-payair-technologies-switch-to-quarkus.adoc.po, 39, 40, 1291, 1294, 1%
2024-04-18-quarkus-saas-backend-time-tracking-app-case-study.adoc.po, 24, 25, 1285, 1286, 1%
2020-03-19-eclipse-got-quarkused.adoc.po, 70, 71, 1281, 1282, 1%
2020-10-27-mutiny-back-pressure.adoc.po, 51, 51, 1275, 1275, 0%
2025-09-25-quarkus-a2a-java-grpc.adoc.po, 59, 60, 1262, 1263, 1%
2019-06-05-quarkus-and-web-ui-development-mode.adoc.po, 44, 44, 1237, 1237, 0%
2020-10-27-experimental_graphql.adoc.po, 87, 88, 1235, 1236, 1%
2025-07-09-quarkus-and-a2a-java-sdk.adoc.po, 54, 55, 1230, 1231, 1%
2025-04-30-test-classloading-rewrite.adoc.po, 29, 29, 1228, 1228, 0%
2022-06-29-nativejdb-debugger-for-native-images.adoc.po, 42, 44, 1226, 1228, 1%
2022-04-04-vscode-quarkus-1.10.0-qute.adoc.po, 70, 70, 1206, 1206, 0%
