Filename, Fuzzy Messages, Total Messages, Fuzzy Words, Total Words, Achievement
l10n/po/zh_CN/_guides/writing-extensions.adoc.po, 656, 883, 13397, 16858 ,21%
l10n/po/zh_CN/_guides/qute-reference.adoc.po, 662, 826, 9680, 11154 ,14%
l10n/po/zh_CN/_guides/security-openid-connect-web-authentication.adoc.po, 264, 404, 6564, 8370 ,22%
l10n/po/zh_CN/_guides/resteasy-reactive.adoc.po, 413, 634, 6021, 8564 ,30%
l10n/po/zh_CN/_guides/native-reference.adoc.po, 210, 347, 5833, 8926 ,35%
l10n/po/zh_CN/_guides/maven-tooling.adoc.po, 252, 281, 4955, 5743 ,14%
l10n/po/zh_CN/_guides/deploying-to-kubernetes.adoc.po, 286, 368, 4883, 5759 ,16%
l10n/po/zh_CN/_guides/hibernate-orm.adoc.po, 247, 326, 4737, 5669 ,17%
l10n/po/zh_CN/_guides/cdi-reference.adoc.po, 226, 313, 4102, 4814 ,15%
l10n/po/zh_CN/_guides/hibernate-search-orm-elasticsearch.adoc.po, 196, 276, 3476, 4475 ,23%
l10n/po/zh_CN/_guides/building-my-first-extension.adoc.po, 177, 239, 3332, 4173 ,21%
l10n/po/zh_CN/_guides/datasource.adoc.po, 248, 276, 2859, 3038 ,6%
l10n/po/zh_CN/_guides/cassandra.adoc.po, 142, 200, 2840, 3393 ,17%
l10n/po/zh_CN/_guides/security-openid-connect-dev-services.adoc.po, 103, 138, 2755, 3218 ,15%
l10n/po/zh_CN/_guides/rest-client-reactive.adoc.po, 150, 255, 2694, 3770 ,29%
l10n/po/zh_CN/_guides/resteasy.adoc.po, 138, 215, 2679, 3487 ,24%
l10n/po/zh_CN/_guides/cache.adoc.po, 143, 241, 2600, 3781 ,32%
l10n/po/zh_CN/_guides/cdi-integration.adoc.po, 146, 180, 2535, 2946 ,14%
l10n/po/zh_CN/_guides/security-openid-connect-client-reference.adoc.po, 123, 231, 2504, 3915 ,37%
l10n/po/zh_CN/_guides/config-reference.adoc.po, 152, 196, 2415, 2688 ,11%
l10n/po/zh_CN/_guides/kafka-streams.adoc.po, 122, 270, 2378, 4362 ,46%
l10n/po/zh_CN/_guides/gradle-tooling.adoc.po, 126, 150, 2269, 2480 ,9%
l10n/po/zh_CN/_guides/rabbitmq-reference.adoc.po, 218, 272, 2201, 2743 ,20%
l10n/po/zh_CN/_guides/cdi.adoc.po, 122, 167, 2172, 2494 ,13%
l10n/po/zh_CN/_guides/reactive-routes.adoc.po, 157, 227, 2160, 3060 ,30%
l10n/po/zh_CN/_guides/logging.adoc.po, 215, 251, 2158, 2567 ,16%
l10n/po/zh_CN/_guides/optaplanner.adoc.po, 125, 241, 2124, 4101 ,49%
l10n/po/zh_CN/_guides/security.adoc.po, 123, 134, 2116, 2419 ,13%
l10n/po/zh_CN/_guides/http-reference.adoc.po, 175, 204, 2033, 2294 ,12%
l10n/po/zh_CN/_guides/security-webauthn.adoc.po, 97, 227, 1968, 4054 ,52%
l10n/po/zh_CN/_guides/smallrye-graphql.adoc.po, 145, 235, 1951, 2930 ,34%
l10n/po/zh_CN/_guides/mutiny-primer.adoc.po, 121, 141, 1931, 2094 ,8%
l10n/po/zh_CN/_guides/security-jwt-build.adoc.po, 114, 147, 1872, 2529 ,26%
l10n/po/zh_CN/_guides/jreleaser.adoc.po, 53, 89, 1869, 2688 ,31%
l10n/po/zh_CN/_guides/software-transactional-memory.adoc.po, 40, 54, 1832, 2031 ,10%
l10n/po/zh_CN/_guides/redis-reference.adoc.po, 128, 205, 1808, 2523 ,29%
l10n/po/zh_CN/_guides/rest-client.adoc.po, 100, 167, 1759, 2394 ,27%
l10n/po/zh_CN/_guides/infinispan-client.adoc.po, 108, 152, 1725, 2357 ,27%
l10n/po/zh_CN/_guides/extension-codestart.adoc.po, 124, 152, 1719, 2175 ,21%
l10n/po/zh_CN/_guides/deploying-to-openshift.adoc.po, 121, 160, 1622, 1949 ,17%
l10n/po/zh_CN/_guides/kogito.adoc.po, 109, 152, 1592, 1886 ,16%
l10n/po/zh_CN/_guides/security-openid-connect-multitenancy.adoc.po, 91, 149, 1572, 2215 ,30%
l10n/po/zh_CN/_guides/smallrye-fault-tolerance.adoc.po, 79, 125, 1567, 2271 ,31%
l10n/po/zh_CN/_guides/quarkus-reactive-architecture.adoc.po, 62, 75, 1563, 1681 ,8%
l10n/po/zh_CN/_guides/funqy-knative-events.adoc.po, 67, 91, 1506, 1909 ,22%
l10n/po/zh_CN/_guides/kafka-schema-registry-avro.adoc.po, 78, 155, 1481, 2388 ,38%
l10n/po/zh_CN/_guides/smallrye-health.adoc.po, 82, 115, 1467, 1846 ,21%
l10n/po/zh_CN/_guides/validation.adoc.po, 96, 138, 1462, 1852 ,22%
l10n/po/zh_CN/_guides/scheduler-reference.adoc.po, 77, 109, 1460, 1794 ,19%
l10n/po/zh_CN/_guides/deploying-to-google-cloud.adoc.po, 87, 101, 1454, 1567 ,8%
l10n/po/zh_CN/_guides/reactive-sql-clients.adoc.po, 130, 199, 1447, 2250 ,36%
l10n/po/zh_CN/_guides/security-getting-started.adoc.po, 77, 149, 1423, 2114 ,33%
l10n/po/zh_CN/_guides/funqy-amazon-lambda.adoc.po, 75, 93, 1358, 1498 ,10%
l10n/po/zh_CN/_guides/class-loading-reference.adoc.po, 56, 63, 1342, 1457 ,8%
l10n/po/zh_CN/_guides/elasticsearch.adoc.po, 73, 122, 1337, 2198 ,40%
l10n/po/zh_CN/_guides/extension-registry-user.adoc.po, 53, 72, 1327, 1456 ,9%
l10n/po/zh_CN/_guides/config-mappings.adoc.po, 83, 186, 1294, 2000 ,36%
l10n/po/zh_CN/_guides/stork-kubernetes.adoc.po, 67, 106, 1263, 1915 ,35%
l10n/po/zh_CN/_guides/doc-create-tutorial.adoc.po, 97, 146, 1256, 1839 ,32%
l10n/po/zh_CN/_guides/platform.adoc.po, 49, 62, 1236, 1437 ,14%
l10n/po/zh_CN/_guides/gcp-functions.adoc.po, 73, 111, 1226, 1840 ,34%
l10n/po/zh_CN/_guides/security-openid-connect-providers.adoc.po, 81, 149, 1219, 1391 ,13%
l10n/po/zh_CN/_guides/security-openid-connect-client.adoc.po, 69, 139, 1219, 1836 ,34%
l10n/po/zh_CN/_guides/kafka-reactive-getting-started.adoc.po, 75, 124, 1215, 1824 ,34%
l10n/po/zh_CN/_guides/qute.adoc.po, 83, 133, 1212, 1646 ,27%
